ingredient_key,canonical_unit,price_per_unit
"(8-bone) racks of lamb, about 2 pounds (900g) total",nan,0.00963
"(8.6 ounce; 245 g) sheet puff pastry from 1 (17.3 ounce) package, thawed",nan,0.026537
(80 ml) heavy cream,cup,1.539752
"(about 1/2 cup) finely crumbled queso fresco (optional, see note #2 above)",ounces,0.017532
(about 15g) kosher salt (see note),tbsp,0.169236
"(about 8 g) diamond crystal kosher salt, divided; for table salt use half as much by volume or the same weight",tsp,0.073623
(tk g) panko bread crumbs,cup,0.590297
100g all-purpose flour (3 3/4 ounces; about 3/4 cup),nan,0.044996
100g toasted pecans (3 3/4 ounces; about 1 cup),nan,0.038436
"145g unsalted butter (5 ounces; 10 tablespoons), cut into small cubes and chilled",nan,0.022064
"165g raw sugar, such as turbinado (5 3/4 ounces; about 3/4 cup)",nan,0.031269
4 cloves,piece,2.014438
80-proof vodka,tbsp,0.161794
"accompaniments, as desired",nan,0.044731
all-purpose flour (4 1/2 ounces; 1 cup),g,0.002635
all-purpose flour (4 1/2 ounces; 128g),cup,1.678627
all-purpose flour (about 5 ounces; 140g),cup,0.308839
"all-purpose flour, for dusting",nan,0.04055
"apples (preferably a mix of firm, tart fuji and jonagold as well as softer golden delicious), skin on, cored and diced",nan,0.032619
"aromatics, such as fresh thyme or rosemary sprigs, sliced shallots, and sliced garlic (optional)",nan,0.030555
"asparagus, trimmed and peeled (if desired)",pound,0.025009
baby arugula (28 g; 2 cups),ounce,0.00655
baking powder,tsp,0.090253
baking soda,tsp,0.050742
bay leaves,nan,0.007744
beef brisket,pound,0.032645
"beef flank steak, sliced thinly against the grain",pound,0.005211
"beef shin, with meat attached",pounds,0.049411
beef stock,cup,0.662973
"bone-in, skin-on chicken thighs",nan,0.040162
boneless beef chuck,pound,0.02957
"boneless, skinless chicken breast halves, about 8 ounces (225g) each; or 4 boneless, skinless chicken thighs, 4 to 5 ounces (110 to 140g) each; or 4 boneless pork sirloin cutlets, 4 to 5 ounces (110 to 140g) each",nan,0.043181
"boneless, skinless chicken breasts (5 to 7 ounces each), cut into 8 cutlets",nan,0.039644
"boneless, skinless chicken thighs, cut into 1/2- to 3/4-inch chunks (see note)",pound,0.036844
brandy,cup,0.593337
butter,tbsp,0.200773
"canola, vegetable, or grapeseed oil",tbsp,0.037352
cayenne pepper,tsp,0.086071
cheese slices (if desired),nan,0.037668
chinese rice vinegar or distilled white vinegar,tbsp,0.276237
chopped fresh thyme,tsp,0.096935
cinnamon stick,nan,0.020582
cocoa krispies (3 ounces; 3 cups),g,0.013262
cold seltzer or club soda (3 ounces; about 1/3 cup),g,0.025621
coriander seeds,tsp,0.135446
corn starch,tbsp,0.162933
cornmeal (5 ounces; 1 cup),g,0.012901
cornstarch,tbsp,0.292948
"dark chocolate (5 1/4 ounces), coarsely chopped (1 cup), between 64 and 70% cacao",g,0.008228
dark soy sauce,tbsp,0.19094
"dash orange bitters (optional, but highly recommended)",nan,0.012228
"diamond crystal kosher salt, plus more to taste; for table salt, use half as much by volume",tsp,0.119333
"diamond crystal kosher salt; for table salt, use half as much by volume",tsp,0.032973
"diamond crystal kosher salt; for table salt, use half as much by volume or same weight",tsp,0.015686
diced celery (about 2 stalks),cup,0.570551
diced green bell pepper (about 1 medium),cup,1.104384
diced onions (about 1 medium),cup,0.587167
dried thyme leaves,tsp,0.098642
dry gin,ounces,0.0136
dry vermouth,ounce,0.012436
dry white wine,cup,1.767333
"dutch cocoa powder, such as cacao barry extra brute (about 2/3 cup, spooned; 55g); see note",ounces,0.04874
egg white,nan,0.034935
egg yolks (2 ounces) from 4 large eggs,g,0.014936
extra-virgin olive oil,tbsp,0.250698
"extra-virgin olive oil, plus more for drizzling",tsp,0.044072
fennel seeds,tsp,0.098193
finely chopped fennel from 1 large bulb (about 5 ounces; 142 g),cup,1.783074
finely chopped fresh parsley leaves,tbsp,0.271626
finely chopped shallots,tbsp,0.238899
finely grated orange zest from 2 medium navel oranges,tbsp,0.157578
finely grated parmigiano-reggiano cheese (preferably microplaned),cup,1.812189
finely shredded green cabbage,nan,0.023882
"fish sauce, plus more to taste",cup,1.579377
"flaky salt, such as maldon, to garnish, optional",nan,0.005427
flour,cup,1.715375
four toasted burger buns,nan,0.041052
"fresh basil leaves, roughly torn",nan,0.019659
fresh juice from 1 lemon,tsp,0.075725
fresh juice from 2 lemons,tbsp,0.242516
"fresh raw oysters, about 3 inches long, well scrubbed",nan,0.041877
freshly grated nutmeg (see note),tsp,0.146067
freshly grated zest from 1 lemon,tbsp,0.055429
freshly ground black pepper,nan,0.016863
"freshly ground black pepper, plus more for serving",tsp,0.041985
"freshly ground black pepper, plus more to taste",tsp,0.115313
"freshly ground black pepper, to taste",nan,0.026851
gochujang,tsp,0.043459
gochujang (about 1/2 ounce; 16 g),tbsp,0.202415
granulated sugar (4 3/4 ounces; 134 g),cup,0.97425
"granulated sugar (5 ounces; about 2/3 cups), divided",g,0.024592
granulated sugar (about 2 1/4 ounces; 1/3 cup),g,0.014359
grated zest and 1/4 cup juice from 1 orange,tsp,0.035502
"green peppercorns in brine, drained",tbsp,0.158311
ground cumin,tsp,0.124059
ground pepper (white or black),tsp,0.122929
ground white pepper,tsp,0.139101
heavy cream,cup,0.336999
heavy cream (3/4 cup; 170g),ounces,0.01922
hoisin sauce and sriracha,nan,0.01077
homemade or store-bought low-sodium chicken stock,tbsp,0.172527
homemade or store-bought tonkatsu sauce,nan,0.0062
japanese-style panko bread crumbs (about 5 ounces; 140g),cup,0.973548
"japanese-style pickles (sunomono), optional",nan,0.023411
"kirby cucumbers, thinly sliced (about 8 ounces; 225g total)",nan,0.033077
kosher salt,nan,0.045793
kosher salt and freshly ground black pepper,nan,0.0311
"kosher salt, to taste",nan,0.033355
"large carrot, peeled and roughly chopped",nan,0.049688
"large croissants, homemade or store-bought, split",nan,0.023063
"large egg beaten lightly with 1 teaspoon water, for egg wash",nan,0.028135
large egg yolks (about 1 1/2 ounces; 42 g),nan,0.026657
large eggs,nan,0.038752
"large eggs, thoroughly beaten",nan,0.038536
"large hand ginger (about 6 inches long), split in half lengthwise",nan,0.031705
"large onion, roughly chopped",nan,0.041678
"large onions, split in half",nan,0.016338
"large pinch saffron threads, see notes",nan,0.039944
lemon wedges,nan,0.010239
light brown sugar (7 1/2 ounces; 213 g),cup,0.990329
"limes, each cut into 4 wedges",nan,0.027683
live cherrystone or littleneck clams (see note),pounds,0.014127
"louisiana-style hot sauce (such as frank&#39;s or crystal), plus more to taste",tbsp,0.082716
low-sodium chicken or vegetable stock,cup,0.779245
low-sodium store-bought or homemade chicken stock,cup,1.320889
lukewarm water,cup,1.133469
malted milk powder (about 2 1/3 ounces; 65 g),cup,1.577788
masarepa (see note),cup,0.184917
mascarpone (4 ounces; 113 g),cup,0.824123
"medium bunch swiss chard (10 ounces; 283 g), stemmed and chopped",nan,0.031988
"medium carrot (4 ounces; 113g), peeled and finely chopped",nan,0.026533
"medium clove garlic, minced",nan,0.038768
"medium cloves garlic, minced",nan,0.032382
"medium cloves garlic, minced (about 1 tablespoon)",nan,0.036379
"medium cloves garlic, roughly chopped (3/4 ounce; about 20g)",nan,0.045785
"medium cloves garlic, roughly sliced",nan,0.014101
"medium onion, finely chopped (about 1 cup)",nan,0.015267
"medium red onion (8 ounces; 227 g), finely chopped",nan,0.006885
"medium scallions, white and light green parts, finely chopped (1/2 cup)",nan,0.030501
"milk, any percentage will do (4 cups; 910g)",ounces,0.027101
minced fresh ginger (about one 1-inch piece),tsp,0.074005
minced fresh parsley leaves,tbsp,0.118254
minced fresh rosemary,tbsp,0.287178
minced fresh thyme leaves,tsp,0.038349
minced garlic (about 2 medium cloves),tsp,0.145337
minced garlic (about 3 medium cloves),tbsp,0.238638
"mozzarella or other good melting cheese, sliced or grated",pound,0.023487
"neutral oil (2 ounces; about 1/4 cup), such as vegetable",g,0.012633
"nonstick cooking spray, for greasing",nan,0.008073
olive oil,tbsp,0.030623
"one 16-ounce bag marshmallows, any size",nan,0.034338
one 6- to 10-pound (2.7- to 4.5kg) crown roast of pork (12 to 20 chops; see note),nan,0.03651
"orange sugar, see above",tbsp,0.2818
"oxtail, cut into 1/2 to 1-inch thick slices",pounds,0.032164
"oyster crackers, for serving",nan,0.021101
palm sugar (about 3 ounces; 85g),cup,1.981382
pan with fond remaining after searing steaks,nan,0.024975
"peanut, vegetable, or canola oil",tsp,0.142202
pepper jelly (5 1/2 ounces; 155 g),cup,1.529029
pinch crushed red pepper flakes (preferably thai or vietnamese; optional),nan,0.018892
pinch kosher salt,nan,0.032231
pinch red pepper flakes (optional),nan,0.031122
plain or toasted sugar (1 cup; 195g),ounces,0.015926
plus 1 tablespoon granulated sugar (about 2 1/4 ounces; 65g),cup,0.215296
"plus 2 tablespoons (90 ml) freshly squeezed orange juice from 1 medium orange, divided, plus 1 tablespoon zest from 2 medium oranges, divided",cup,1.716253
"powdered sugar (about 1 1/2 ounces; 3 tablespoons), plus more as needed",g,0.026216
"powdered sugar, for dusting",nan,0.014991
quart whole milk,nan,0.013667
quarts (2l) water,nan,0.02547
quarts (about 1.5l) homemade or store-bought low-sodium chicken stock,nan,0.020327
"quarts of peanut, canola, or vegetable oil for deep frying",nan,0.010158
recipe basic nuoc cham,nan,0.025575
red wine,tbsp,0.079891
red wine vinegar,tsp,0.086473
"ribs celery, roughly chopped",nan,0.032926
"rice krispies (3 1/2 ounces; 3 1/2 cups), see notes",g,0.006775
roasted sesame seed oil,tsp,0.037473
"roasted white sesame seeds, for serving (optional)",nan,0.006105
"russet or yukon gold potatoes, peeled and cut into 1/2-inch cubes",pounds,0.01352
salt,tsp,0.11621
"salt pork or bacon, cut into 1/2-inch cubes",pound,0.029133
shaoxing wine,tsp,0.045328
shaoxing wine (see note),tbsp,0.249603
sliced cucumber,nan,0.014741
"sliced or diced chicken, pork, or beef",pound,0.041986
sliced scallions,cup,1.285179
"small shallot (1 1/2 ounces; 45 g), thinly sliced crosswise",nan,0.039605
"small shallot, minced",nan,0.044402
"small shallot, roughly chopped (about 1 ounce; 30g total)",nan,0.0424
smoked paprika,tsp,0.053647
soy sauce,tsp,0.052872
sprigs fresh dill,nan,0.036307
sprigs thyme or rosemary (optional),nan,0.036955
"stalks celery, finely chopped (about 1 cup)",nan,0.031009
"stalks lemongrass, bottom 4 to 5 inches only, outer leaves discarded, tender core thinly sliced (about 2 ounces; 60g sliced lemongrass)",nan,0.040914
steamed white rice,nan,0.012817
steamed white rice and steamed broccoli for serving,nan,0.035515
sugar,tbsp,0.10862
sugar (preferably yellow rock sugar),tbsp,0.17544
"thick-cut bacon, finely chopped",piece,2.297363
thinly sliced green onions,cup,0.793718
thinly sliced scallion bottoms (about 1 scallion),tsp,0.133941
"thinly sliced scallions, for garnish (optional)",nan,0.022779
thinly sliced thai chiles,nan,0.00825
"to 20 ounces (455g to 570g) ground beef, divided into four 4-ounce portions (see note)",nan,0.03888
"to 3 cups mixed herbs (cilantro, basil, and mint)",nan,0.036718
to 3 cups trimmed bean sprouts,nan,0.039353
to 8 servings pho noodles,nan,0.013359
"toasted white sesame seeds, for garnish (optional)",nan,0.016971
"toppings and condiments, as desired",nan,0.031411
unsalted butter,tbsp,0.188075
unsalted butter (1 ounce; 14 g),tbsp,0.14771
unsalted butter (1 ounce; 2 tablespoons),g,0.008962
"unsalted butter (1 ounce; 2 tablespoons), melted and cooled slightly, plus more for greasing",g,0.018905
unsalted butter (2 ounces; 4 tablespoons),g,0.028598
unsalted butter (4 ounces; 113g),tbsp,0.164388
"unsalted butter (about 1/2 ounce; 14g), melted and cooled slightly",tbsp,0.276437
"unsalted butter (about 3 sticks; 340g), softened to about 70°f (21°c)",ounces,0.048053
vanilla extract,tsp,0.107174
vegetable oil,tsp,0.125142
"vegetable, canola, or peanut oil, for frying",nan,0.040678
"vegetable, peanut, or canola oil",tsp,0.107088
water or clam juice,cup,1.116163
"water, plus more as necessary",cup,1.669736
white sugar,tbsp,0.117803
whole star anise pods,nan,0.039772
"whole turkey, neck and giblets reserved, about 10 to 12 pounds (4.5 to 5kg) (see note)",nan,0.03854
"whole white peppercorns, or 1 1/2 teaspoons ground white pepper (4g)",tsp,0.077688
whole-grain mustard,tbsp,0.20277
worcestershire sauce,tbsp,0.107472
